,region,accumulation,G
948,2,3781,3.1
949,2,3790,2.6
950,2,3815,3.0
951,2,3862,4.4
952,2,3899,4.0
953,2,3896,2.5
954,2,3925,3.2
955,2,3934,3.3
956,2,3941,4.3
957,2,3947,4.1
958,2,3938,4.4
959,2,3929,2.9
960,2,3926,4.7
961,2,4006,5.9
962,2,4006,2.8
963,2,4040,2.0
964,2,4058,2.2
965,2,4075,3.2
966,2,4083,3.4
967,2,4094,2.4
968,2,4118,3.0
969,2,4132,3.0
970,2,4139,6.8
971,2,4136,2.7
972,2,4168,3.6
973,2,4197,2.8
974,2,4221,3.5
975,2,4217,4.9
976,2,4198,1.6
977,2,4215,2.6
978,2,4236,2.1
979,2,4249,4.6
980,2,4252,5.1
981,2,4267,5.0
982,2,4286,4.6
983,2,4287,3.5
984,2,4310,3.5
985,2,4324,5.0
986,2,4312,2.9
987,2,4329,2.3
988,2,4352,2.6
989,2,4356,1.2
990,2,4359,3.7
991,2,4420,5.3
992,2,4426,5.1
993,2,4421,5.0
994,2,4423,2.9
995,2,4444,3.0
996,2,4449,3.6
997,2,4448,4.3
998,2,4448,3.1
999,2,4456,2.3
1000,2,4465,2.6
1001,2,4518,2.9
1002,2,4553,3.2
1003,2,4576,1.4
1004,2,4606,3.1
1005,2,4610,5.4
1006,2,4607,5.0
1007,2,4605,2.4
1008,2,4611,1.7
1009,2,4658,2.1
1010,2,4672,3.4
1011,2,4696,2.4
1012,2,4733,2.3
1013,2,4760,2.1
1014,2,4777,3.1
1015,2,4798,3.8
1016,2,4806,3.4
1017,2,4812,3.9
1018,2,4819,2.3
1019,2,4828,2.0
1020,2,4828,4.4
1021,2,4853,1.9
1022,2,4885,1.9
1023,2,4912,1.9
1024,2,4925,3.6
1025,2,4920,2.7
1026,2,4926,2.6
1027,2,4952,2.8
1028,2,4955,2.9
1029,2,4980,3.7
1030,2,4978,3.0
1031,2,5011,1.9
1032,2,5046,3.1
1033,2,5053,3.2
1034,2,5049,2.9
1035,2,5045,1.6
1036,2,5079,1.6
1037,2,5100,3.2
1038,2,5110,3.5
1039,2,5105,1.0
1040,2,5134,3.5
1041,2,5170,4.7
1042,2,5172,3.3
1043,2,5167,2.2
1044,2,5177,4.6
1045,2,5178,3.0
1046,2,5180,2.8
1047,2,5186,3.9
1048,2,5193,1.3
1049,2,5212,1.8
1050,2,5236,4.5
1051,2,5271,4.0
1052,2,5278,3.3
1053,2,5282,2.2
1054,2,5295,2.5
1055,2,5304,2.0
1056,2,5311,2.4
1057,2,5320,1.6
1058,2,5350,2.4
1059,2,5368,2.5
