flow,region,accumulation,G,CV
0.2,0,137,0.4,1.3739876973082918
0.2,0,141,0.9,1.4351925331011983
0.2,0,138,0.6,1.843404989839971
0.2,0,141,0.6,1.688278584697455
0.2,0,145,0.2,1.5540125438187977
0.2,0,147,0.3,2.016243643929224
0.2,0,147,0.6,1.8682427633874306
0.2,0,149,0.8,2.0851530662704336
0.2,0,148,0.7,2.2187095526446727
0.2,0,151,0.1,1.6171052193008624
0.2,0,159,0.3,1.4564841692866815
0.2,0,162,0.9,1.570581705417206
0.2,0,159,0.6,1.583372309898364
0.2,0,159,1.2,1.486261712885203
0.2,0,149,1.0,1.4952133917450463
0.2,0,150,0.4,1.5348740575689808
0.2,0,151,0.3,1.9403438559436397
0.2,0,155,0.2,1.6629909207102382
0.2,0,164,2.5,1.6801877011714688
0.2,0,148,0.2,2.379495302497769
0.2,0,153,0.2,1.856412304217122
0.2,0,165,0.6,1.5293876275679341
0.2,0,166,0.0,1.4526118886367252
0.2,0,173,1.6,1.3911602952091462
0.2,0,163,0.2,1.5245897802385944
0.2,0,169,0.5,1.4115068844566185
0.2,0,168,0.4,1.4000815961427344
0.2,0,174,0.5,1.989188658384274
0.2,0,173,2.0,1.8805439772992694
0.2,0,161,0.9,1.9676345922844567
0.2,0,155,0.2,1.7416186804637153
0.2,0,163,0.4,1.58720846081752
0.2,0,163,0.7,1.584506721995865
0.2,0,167,0.8,1.379173620487393
0.2,0,166,0.1,1.4659950345324677
0.2,0,172,0.6,1.407020255229808
0.2,0,172,0.5,1.3881478108757135
0.2,0,174,1.2,1.3763068381785446
0.2,0,169,1.6,1.7595245390410281
0.2,0,163,0.4,1.6406855342880617
0.2,0,166,0.4,1.6344221114362627
0.2,0,171,0.6,2.020763893695697
0.2,0,169,0.3,1.8127695348173638
0.2,0,174,1.0,1.534525068285973
0.2,0,171,0.9,1.668222590023435
0.2,0,166,0.5,1.5710173583652165
0.2,0,169,0.4,1.5645938424351633
0.2,0,165,0.3,1.841747055053728
0.2,0,167,2.0,1.7365571135863451
0.2,0,151,0.6,1.604616520090393
0.2,0,149,0.7,1.9190989827239766
0.2,0,148,0.4,2.0121143785950553
0.2,0,146,0.3,1.6570946776609867
0.2,0,146,1.5,1.9106885527543833
0.2,0,143,0.5,1.9121870637739997
0.2,0,139,0.3,2.0081904104424493
0.2,0,137,0.5,1.943103281667377
0.2,0,160,1.5,1.7789935085390143
0.2,0,146,1.9,1.4216477204631903
0.2,0,132,0.5,1.4022708779740278
0.2,0,129,0.7,1.5851624745998185
0.2,0,127,0.5,1.7619632468181803
0.2,0,125,0.0,1.6595086097596623
0.2,0,127,1.3,1.7708129445151395
0.2,0,121,0.1,1.9754235083006115
0.2,0,120,0.3,1.9203596576278246
0.2,0,128,0.1,1.6491073073796163
0.2,0,130,0.5,1.6630630125562216
0.2,0,127,0.8,1.784880328278566
0.2,0,124,0.1,1.7396552920964952
0.2,0,133,0.7,1.761561594265403
0.2,0,130,0.0,2.22530611688442
0.2,0,133,0.4,1.7240977748175397
0.2,0,133,0.6,1.7195953452926276
0.2,0,128,0.4,1.9068702159855906
0.2,0,130,0.3,1.8855743631144788
0.2,0,134,0.4,1.788244648941167
0.2,0,140,0.4,2.4613051229263
0.2,0,137,1.2,2.25836903162071
0.2,0,129,1.0,2.0965922654723763
0.2,0,122,0.3,2.3324188092122067
0.2,0,121,0.2,2.1772010868105984
0.2,0,119,0.2,1.9352753765589055
0.2,0,119,0.7,1.9113239743978099
0.2,0,117,1.0,2.0633075015093274
0.2,0,108,0.2,2.421168734782286
0.2,0,111,0.4,1.8758909916056137
0.2,0,113,0.8,1.8777194742870618
0.2,0,109,0.9,2.0704174226955248
0.2,0,105,1.1,2.0846348749975716
0.2,0,98,0.5,2.5540977976128016
0.2,0,96,0.3,1.7323023163395233
0.2,0,95,0.2,1.7862408492889927
0.2,0,102,1.2,1.6103327339017817
0.2,0,95,0.5,2.3589640526216296
0.2,0,93,0.2,2.0083218810629107
0.2,0,94,0.1,1.9714960368918728
0.2,0,98,0.3,2.08275062200874
0.2,0,99,1.5,2.17229797236486
0.2,0,90,0.6,2.0514575807226354
0.2,0,90,0.4,1.9272776763732289
0.2,0,88,0.2,2.2275092233766363
0.2,0,90,0.5,2.0119523558982695
0.2,0,88,0.7,1.9337235815849767
0.2,0,86,0.3,2.658848803193705
0.2,0,88,0.2,2.2350553261332538
0.2,0,92,0.1,1.8361689554888718
0.2,0,92,0.5,1.8860110696484444
0.2,0,91,0.5,1.8989673621120258
0.2,0,87,0.2,2.005553042514747
0.2,0,88,0.1,1.9224762838927503
0.2,0,91,0.6,1.7774759221948415
0.2,0,87,0.3,1.811548142335798
0.2,0,92,0.6,1.6384781127393104
0.2,0,93,0.6,1.7812919847228994
0.2,0,90,0.2,1.9797545604520053
0.2,0,90,0.1,1.8306590940068586
0.2,0,102,0.2,2.464431007585972
0.2,0,105,1.8,1.7928616938754065
0.2,0,90,0.3,1.8455100401515323
0.2,0,90,0.3,1.9202977104626784
0.2,0,91,0.2,1.888292060851821
0.2,0,99,0.2,1.7823873417448848
0.2,0,101,1.0,1.7322725821250118
0.2,0,94,0.3,1.815441247073175
0.2,0,93,0.2,1.8334178379693478
0.2,0,101,0.4,1.8074663318344444
0.2,0,101,0.4,2.490896916708865
0.2,0,98,1.0,1.9784199882457019
0.2,0,96,0.4,1.804209284356756
0.2,0,95,0.4,1.7202422654156124
0.2,0,98,0.1,1.6731874866171181
0.2,0,99,0.2,1.9122601027418287
0.2,0,103,0.9,1.7169019577333953
0.2,0,98,0.2,1.7128801715450084
0.2,0,100,0.2,1.8719622317941098
0.2,0,101,0.3,1.6962291540628518
0.2,0,106,0.0,1.980661149613585
0.2,0,106,1.1,2.065921322572625
0.2,0,101,0.6,2.166912214947116
0.2,0,98,0.2,2.1992759918601408
0.2,0,99,0.5,2.116302547712316
0.2,0,97,0.4,2.003185990648015
0.2,0,95,0.6,1.8733115422339046
0.2,0,91,0.2,1.988707955412114
0.2,0,94,0.3,1.919313314075845
0.2,0,91,0.2,1.9062908665054357
0.2,0,100,0.5,1.760024521359952
0.2,0,97,0.6,1.7566779483054027
0.2,0,95,0.4,1.7423376587455144
0.2,0,93,0.0,1.827808712170321
0.2,0,95,0.6,1.7290748514117722
0.2,0,91,0.1,1.9835887423656884
0.2,0,94,0.8,2.018947772246418
0.2,0,92,0.0,2.148438402167023
0.2,0,96,0.1,2.268384874674936
0.2,0,99,0.3,2.212468956416651
0.2,0,100,0.7,1.8553666237464639
0.2,0,96,1.2,1.9586607051376088
0.2,0,87,0.4,3.1498186222881466
0.2,0,87,0.3,2.3107849998379617
0.2,0,85,0.1,2.3335800968946043
0.2,0,90,0.5,1.9762354811439455
0.2,0,89,0.7,2.4304495522934717
0.2,0,84,0.8,2.243370753002664
0.2,0,84,0.2,1.795764207507425
0.2,0,89,0.1,1.8449871437416774
0.2,0,93,0.2,1.7320840466264307
0.2,0,95,0.8,1.7965404592114038
0.2,0,91,0.4,1.7971457297155427
0.2,0,90,0.1,1.7720493308566583
0.2,0,91,0.4,1.6349353283469068
0.2,0,93,0.2,1.7110031797245844
0.2,0,95,0.4,1.882684926082837
0.2,0,93,0.5,1.903636597974284
0.2,0,95,0.1,1.6907364019530282
0.2,0,99,0.2,2.3646101484350606
0.2,0,104,0.4,2.199780075095009
0.2,0,104,1.4,1.6525283498248473
0.2,0,93,0.3,1.7565009307387665
0.2,0,94,0.1,1.7887383070265992
0.2,0,94,0.3,1.8869771503506885
0.2,0,92,0.1,1.6742142577191157
0.2,0,93,0.9,1.650721591154669
0.2,0,89,0.7,2.195772859585619
0.2,0,91,0.1,2.5178049627343144
0.2,0,93,0.2,2.2334486020528015
0.2,0,91,0.8,2.0780290765885363
0.2,0,89,0.7,1.8835722265245143
0.2,0,86,0.4,2.720543056119716
0.2,0,85,0.0,1.8602482989513933
0.2,0,86,0.3,1.8185954465665937
0.2,0,88,0.4,1.8860075527464142
0.2,0,85,0.9,1.7287971711444063
0.2,0,80,0.3,1.9182888533686941
0.2,0,79,0.2,2.029143880881176
0.2,0,78,0.2,1.950527489965613
0.2,0,85,0.5,2.2862346741930377
0.2,0,83,1.2,2.2856016220302804
0.2,0,80,0.2,1.9191807287764822
0.2,0,79,0.0,1.8934778720388252
0.2,0,86,0.3,1.791067409578232
0.2,0,89,0.1,1.7350654780186983
0.2,0,92,0.8,1.8611990935310745
0.2,0,87,0.9,1.9475230255787142
0.2,0,79,0.2,1.9945399133696873
0.2,0,79,0.2,2.0560644745802996
0.2,0,81,0.8,2.174992802456778
0.2,0,75,0.9,2.108585420193365
0.2,0,70,0.5,2.0722641359103156
0.2,0,69,0.1,1.8492671693373213
